Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11
Bullae,Chest tightness,shortness of breath,chest tightness,fever with cough,,,,,,,
Emphysema,Widening of mediastinal dullness,barrel chest,Bronchial mucosal edema,Viscous or purulent sputum,low diaphragm,Chest tightness,Prolonged breath sounds,pulmonary rales,decreased breath sounds,,
pulmonary embolism,right heart failure,chest pain,Difficulty breathing,Hemoptysis,hypoglycemic hypothermia,arrhythmia,Cyanosis,Massive hemoptysis,Malignant pleural effusion,cardiopulmonary embolism,
pneumonia,Puffing of cheeks and pursing of lips when exhaling,cough frothy mucus phlegm,Difficulty breathing,cough with chest pain,expectoration,cough,persistent fever,Coughing up rust-colored phlegm,fever with chills,Malignant pleural effusion,
lung cancer,cough with weight loss,Hemoptysis with chest pain,pulmonary nodules,Viscous or purulent sputum with...,bloodshot sputum,planting spread,"Fever with cough, cough...",chest pain,,,
cold,Headache,Hot and cold all over,sore throat,fever,Throat dryness and burning sensation,runny nose,stuffy nose,fever with chills,emotional cold,,
septic shock,hypothermic coma,infection induced coma,The pulse is weak and not even...,Pale,Alkaline urine,Decreased number of capillary loops in the nail fold,anxious,fever with chills,clammy extremities,low blood pressure,
respiratory failure,Fibrosis in the upper lung,respiratory failure,Difficulty breathing,disturbance of consciousness,Nails are extra large and have vertical lines...,Sudden decompensation of heart function,mixed acid-base balance disorder,out of breath,asterixis,,
Hemoptysis,swollen lymph nodes,Hemoptysis with chest pain,Hemoptysis with jaundice,Hemoptysis with cough,Hemoptysis,Hemoptysis with fever,Liqin,asphyxia,decreased breath sounds,Hemoptysis with mucocutaneous bleeding,Rale
influenza,tonsil congestion,Throat dryness and burning sensation,sore throat,hoarse cough,stuffy nose,sneeze,fever with chills,nausea,emotional cold,,
pneumothorax,Fluid pneumothorax,alveolar rupture,Pleural thickening,chest pain with dyspnea,Difficulty breathing,Pleural shock,Pleural adhesions,decreased breath sounds,out of breath,,
snoring,Snoring,fatigue,drowsiness,sleep rhythm disturbance,arrhythmia,sleep apnea,Sudden sleep death,,,,
asthma,Diffuse or scattered in both lungs...,lung hyperinflation,Wheeze,Difficulty breathing,Tracheal obstruction,clothing,cough,respite,cough with wheeze,Phlegm drink,
obstructive emphysema,Puffing of cheeks and pursing of lips when exhaling,barrel chest,Difficulty breathing,chest tightness,Chest tightness,Prolonged breath sounds,decreased breath sounds,out of breath,,,
bronchiectasis,delayed menstruation,wet rales,Enlarged lung markings twice,Difficulty breathing,loss of appetite,purulent sputum,Chest tightness,weak,Massive hemoptysis,out of breath,
sick sinus syndrome,Insomnia,"Chest pain with chest tightness, palpitations","Palpitations with fatigue, pallor",Exercising or emotional...,memory impairment,Bradycardia,Chest tightness,arrhythmia,tachycardia,,
Kawasaki disease,characteristic large flakes of toe peeling,upper extremity edema,Maculopapular rash,Station doctor,flushed lips,Nail Visible Transverse Grooves,Accelerated pulse,persistent fever,chapped lips,tachycardia,Edema of ankle and dorsum of foot
Patent ductus arteriosus,femoral artery gunshot,Cyanosis,Double ball sign on angiography,systolic murmur,Circular coarctation of ascending aortic root,clubbing (toes),,,,,
Aneurysm,hypothermic coma,Fatal upper respiratory bleeding,Difficulty breathing,Decreased arterial oxygen saturation,aortic ring dilation,E sign,Numbness in the distribution of the trigeminal nerve,Varicose veins,Lower extremity blood pressure,,
hypertension,high blood pressure,"Feeling of pressure, tightness...",Nervous vomiting,dazzled,dizzy,neck throbbing,heart aortic regurgitation,Dizziness,weak,,
coronary heart disease,cardiovascular blockage,heart failure,Difficulty breathing,tachycardia,weak,cardiac left ventricular diastolic dysfunction,arrhythmia,chronic atrial fibrillation,flustered,heart palpitations,
